age,gender,daily_gaming_hours,game_genre,gaming_platform,sleep_hours,sleep_quality,sleep_disruption_frequency,academic_work_performance,grades_gpa,work_productivity_score,mood_state,mood_swing_frequency,withdrawal_symptoms,loss_of_other_interests,continued_despite_problems,eye_strain,back_neck_pain,weight_change_kg,exercise_hours_weekly,social_isolation_score,face_to_face_social_hours_weekly,monthly_game_spending_usd,years_gaming
22,Female,4.1,Mobile Games,Console,4.0,Poor,Often,Above Average,2.49,94.5,Withdrawn,Never,False,False,False,False,False,8.2,7.0,4,10.0,441.56,13
24,Male,7.8,MOBA,PC,3.9,Excellent,Rarely,Average,1.8,59.9,Normal,Often,False,False,False,False,False,-2.8,9.4,9,14.2,364.47,2
21,Female,8.2,RPG,Multiple,7.4,Fair,Always,Above Average,3.24,23.2,Irritable,Always,False,False,True,True,False,8.0,6.9,2,8.1,461.82,11
22,Male,8.1,MOBA,Console,7.7,Good,Sometimes,Above Average,3.95,42.9,Restless,Rarely,False,True,False,False,True,-2.6,8.2,9,2.3,320.27,2
21,Female,8.7,Battle Royale,Mobile,5.5,Fair,Rarely,Below Average,2.23,43.2,Anxious,Sometimes,False,True,False,False,False,-0.9,7.8,2,4.8,303.84,14
24,Female,1.4,Battle Royale,Mobile,6.3,Very Poor,Always,Average,3.37,30.0,Angry,Sometimes,True,False,False,False,True,7.1,0.0,5,0.5,333.65,6
20,Male,14.0,Battle Royale,Multiple,5.8,Excellent,Rarely,Average,2.91,95.4,Anxious,Rarely,True,True,False,True,True,4.2,9.8,9,4.2,210.73,9
20,Male,6.5,Battle Royale,Mobile,5.5,Fair,Often,Excellent,1.88,35.9,Withdrawn,Always,False,False,False,True,False,3.1,8.2,8,9.9,54.43,4
20,Non-binary,3.1,FPS,Multiple,8.0,Poor,Rarely,Excellent,3.61,62.6,Angry,Often,False,False,True,True,True,7.0,3.2,1,12.3,378.07,14
20,Male,3.9,Sports,Mobile,5.4,Very Poor,Never,Below Average,2.06,24.1,Depressed,Rarely,True,True,False,False,False,-0.9,8.0,5,7.6,155.57,13
21,Female,10.4,Sports,Mobile,7.1,Poor,Sometimes,Above Average,2.21,73.7,Withdrawn,Sometimes,True,False,True,False,False,8.9,2.9,6,7.8,378.74,10
25,Female,5.3,FPS,PC,3.4,Good,Sometimes,Above Average,2.58,95.0,Normal,Often,False,True,True,True,False,-0.9,1.4,1,4.5,385.89,10
25,Male,8.3,Battle Royale,Console,3.7,Fair,Sometimes,Excellent,2.84,62.5,Withdrawn,Often,True,False,True,True,True,-1.4,2.2,6,12.0,265.18,12
13,Male,13.4,Battle Royale,PC,4.4,Fair,Rarely,Below Average,3.6,71.3,Withdrawn,Never,True,False,False,False,True,0.7,0.8,3,3.4,8.08,10
17,Non-binary,7.0,MOBA,Mobile,6.6,Good,Rarely,Average,2.62,87.5,Irritable,Never,True,False,True,True,False,6.2,4.7,9,10.2,465.44,9
15,Male,8.3,MOBA,Mobile,5.5,Good,Rarely,Below Average,2.69,77.9,Irritable,Always,True,True,False,False,False,1.2,6.6,2,11.7,281.46,7
13,Non-binary,5.0,Sports,PC,7.3,Very Poor,Never,Average,1.78,36.0,Restless,Sometimes,False,False,True,True,False,6.0,5.3,7,11.6,433.75,13
24,Male,10.5,Sports,Mobile,4.4,Very Poor,Often,Excellent,3.78,23.2,Restless,Always,True,False,False,True,False,8.3,5.2,7,6.3,185.78,12
19,Male,10.4,FPS,Console,8.8,Poor,Sometimes,Average,2.28,98.3,Normal,Often,True,True,True,True,False,9.9,3.6,4,13.4,436.08,13
22,Female,6.1,MOBA,Multiple,6.6,Good,Always,Above Average,2.55,64.8,Irritable,Rarely,True,False,False,False,False,7.9,5.2,8,8.7,493.06,8
20,Male,5.9,MOBA,Console,8.4,Very Poor,Often,Above Average,3.43,82.2,Depressed,Often,False,False,False,False,False,7.8,3.8,5,6.7,206.4,14
14,Female,9.8,Battle Royale,Mobile,3.8,Very Poor,Rarely,Above Average,2.28,53.8,Withdrawn,Rarely,True,False,False,False,False,1.3,4.5,4,6.1,257.42,12
